"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","22u 25V","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.html","Capacitor_SMD:C_0805_2012Metric","2",""
"C3,C5","0.1u 25V","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0805KRX7R8BB104_C519981.html","Capacitor_SMD:C_0805_2012Metric","2",""
"C4","10u 25V","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A106KAYNNNE_C15850.html","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","PESD15VS2UT","https://www.lcsc.com/product-detail/Electrostatic-and-Surge-Protection-TVS-ESD_Nexperia-PESD15VS2UT-215_C282556.html","Package_TO_SOT_SMD:SOT-23-3","1",""
"J1","GateDriverOut","https://www.lcsc.com/product-detail/Pluggable-System-Terminal-Block_MAX-MX15EDGRC-3-5-03P-GN01-Cu-A_C5188296.html","TerminalBlock:MAX MX15EDGRC-3.5-03P","1",""
"J2","Input","https://www.lcsc.com/product-detail/Pin-Headers_HCTL-PZ254-1-20-W-8-5_C2894962.html","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","1",""
"Q1","DMN2056U","https://www.lcsc.com/product-detail/MOSFETs_Diodes-Incorporated-DMN2056U-7_C332302.html","Package_TO_SOT_SMD:SOT-23","1",""
"R1","100k","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0805FR-07100KL_C96346.html","Resistor_SMD:R_0805_2012Metric","1",""
"R2","20k","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0805FR-0720KL_C114566.html","Resistor_SMD:R_0805_2012Metric","1",""
"R3","5R1","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0805JR-075R1L_C137417.html","Resistor_SMD:R_0805_2012Metric","1",""
"TP1","TestPoint","~","TestPoint:TestPoint_Pad_D1.0mm","1",""
"U1","TBA2-1213","https://www.tracopower.com/products/tba2.pdf","Converter_DCDC:Converter_DCDC_TRACO_TBA2-xxxx_Single_THT","1",""
"U2","STGAP2SCMTR","https://www.lcsc.com/product-detail/Isolated-Gate-Drivers_STMicroelectronics-STGAP2SCMTR_C2970172.html","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
